CUSTOMERNUMBER,CUSTOMERNAME,ADDRESSFORM,STREET,POBOX,POSTALCODE,CITY,COUNTRYCODE,REGION,PHONE,CUSTOMERTYPE,DISCOUNTRATE,LANGUAGEKEY,EMAIL,WEBUSERNAME
69,Egerger AG,Firma,Am Triangel,,38104,Braunschweig,DE,,,B,10,D,,
70,Food & Stuff,,Sweetgumroad,123456,32323,Manchester,GB,,0123-765-9869,B,12,E,EatGoodStuff@food.com,
71,Walldorf Grosshandel,Firma,Abrechnungsstr. 11,,69185,Walldorf,DE,,,B,0,D,,
72,Sommer GmbH,Firma,Baeckerstr. 198,,68490,Dessau,DE,,,B,3,D,,
73,Hamberger u. CO.,Firma,Dachstr. 345,,47055,Duiburg,DE,,,B,5,D,,
74,Kreutzschmid,Firma,Calderonweg 250,,34229,Leipzig,DE,,,B,5,D,,
75,Humpert u. Toechter,Firma,Mosbachstr. 190,,83026,Rosenheim,DE,,,B,0,D,,
76,Meinecke,Spedition,Von-Arleger-Weg 23,,20745,Hamburg,DE,,,B,5,D,,
77,Phunix,Firma,Landstreetse 15,,60000,Frankfurt,DE,,069 / 768890,B,0,D,,
78,Alpha Dienstleistungen,Firma,Kurpfalz-Straße,,66666,Mannheim,DE,,,B,5,D,,
79,Hertz Autovermietung,Firma,Gindener Str. 4,1313,65760,Eschborn,DE,,06196 / 937 - 0,B,0,D,,
80,Eastern Supply Co.,,1000 Broad St.,,19141,Philadelphia,US,PA,215-751-1400,B,10,E,,
81,International Container C,,Main Street,123456,19401,Chicago,US,,,B,12,E,,
82,Metal Container Inc.,,Boardwalk Street,12345,54321,Chicago,US,,,B,12,E,,
83,Real Estate Company USA,,Mainstreet,19414,,Philadelphia,US,PA,,B,12,E,,
84,Schumacher Beratung,Firma,Muenchener Str. 1055,,50858,Koeln,DE,,0221 / 43654-36,B,3,D,,
85,E & S Systems,Firma,Untere Waldstreetse 134,,61203,Reichenberg,DE,,06034 / 9302-7,B,5,D,,
86,Schmalenbach,Firma,Randstreetse 24,,60599,Frankfurt,DE,,069 / 2546-326,B,0,D,,
88,Brain Associates,,243 Querin Blvd,,2373,London TW3 LN2,GB,CE,,B,0,E,,
89,Schneider AG Deutschland,,Mainzerlandstr. 1899,,60441,Frankfurt,DE,,,B,0,D,,
90,IDES UK,Comp,,,L3B 6H7,London,GB,,,B,0,E,,
91,Snyder Inc.,,5 AVE.,,54320,New York,US,,,B,0,E,,
92,IDES Canada,,,,T6E 4R3,Toronto,CA,,,B,0,E,,
94,Schneider GmbH,,Ludwigsstr.  5-7,,67001,Walldorf,DE,,,B,1,D,,
95,Eastern Trucking & Co.,,1200 Walnut Street,,02154,Waltham,US,MA,617-721-1400,B,20,E,,
96,HTG Komponente GmbH,,Werner Straße 12,,30132,Hannover,DE,03,0511-123456,B,15,D,,
97,HTG Components,,4938 Locust Street,,19131,Philadelphia,US,PA,215-783-6565,B,15,E,,
98,ABC Dienstleistungen GmbH,Firma,Am Hohenrech 87,,66666,Kaiserslautern,DE,,,B,17,D,,
99,Moralo Ltd.,,Easter Inch,,TW0117,"Bathgate, West Lothian, E",GB,,031 / 4699966,B,12,E,,
126,Plant Ltd.,,Status Park 4,,UB3 5EY,Middlesex,GB,,081 / 384 1054,B,15,E,,
127,"Abbott Building Supplies,",,701 Lee Road,100,,Wayne,US,PA,610-725-4500,B,0,E,,
128,International Container C,,100 Main Street,12345,,Chicago,US,,,B,0,E,,
129,Metal Containers,,222 East Pine Street,15243,,New York,US,,,B,0,E,,
131,Zebra Supplies,,701 Lee Road,100,,Wayne,US,PA,610-725-4500,B,5,E,,
132,Zebra Supplies,,100 Stevens Drive,100,,Philadelphia,US,PA,610-595-4900,B,0,E,,
133,Zebra Supplies,,Five Westbrook Corporate Cente,100,,West Chester,US,IL,708-947-3400,B,2,E,,
134,Zebra Supplies,,6 Concourse Parkway,100,,Atlanta,US,GA,770-353-2900,B,12,E,,
135,Zebra Supplies,,950 Tower Lane,2127,,Foster City,US,CA,415-637-1655,B,11,E,,
136,Aztec Supplies,,950 Winter Street,100,,Waltham,US,MA,617-672-6500,B,11,E,,
137,Farm Products Inc.,,312 Walnut Street,100,,Cincinnati,US,OH,513-977-5400,B,7,E,,
138,Colinas Maintenance Corp.,,600 Las Colinas Blvd.,100,,Irving,US,TX,214-868-2000,B,20,E,,
139,Schwartz Brothers,,301 Pine Street,,19341,Exton,US,PA,,B,5,E,,
140,Destec Office Supplies,,2500 City West Blvd.,100,,Houston,US,TX,713-917-5200,B,5,E,,
141,Irvine Plant 3000,,1801 Von Karman Ave,100,,Irvine,US,CA,714-622-2200,B,11,E,,
142,Bellevue Plant 4000,,800 Bellevue Way,100,,Bellevue,US,WA,206-462-6395,B,7,E,,
143,Infix Co.,,365 E. Evelyn Av.,,94221,San Mateo,US,,415 - 521 3318,B,5,E,,
144,Pyramid Systems,,3912 N. First Av.,,94105,Santa Clara,US,,408 - 364 3224,B,0,E,,
145,TetPak Inc.,,333 West Wacker Drive,,60606,"Chicago, IL",US,,312 - 553 9200,B,0,E,,
146,Mitch & Collins,,Divisadero Str. 143,,7925,Woodstock,ZA,,448 - 4527,B,2,E,,
147,London Supplying Plant,,Lancaster drive 234,,20001,London,GB,,,B,3,E,,
148,CINSA,Firma,Tettnager streetse 34,,88214,Ravensburg,DE,,,B,15,E,,
149,D. & P. Forbes,,2303 Jackson Av.,,M4T 1E3,"Toronta, Ontario",CA,,416 - 492 4411,B,20,E,,
150,Anda El Eid,,Paddington Lane,,1200,Abu Dhabi,AE,,6067235,B,2,E,,
151,Hatushiba co.ltd,,"maruniuchi,1-2-3",,100,"Chiyodaku, Tokyo",JP,,,B,5,J,,
153,Noe Food Company,,100 Stevens Drive,477,19113,Lester,US,PA,610-555-1212,B,3,E,,
154,Anita Acht,Frau,Asternstr. 1,,65189,Wiesbaden,DE,,,P,12,D,,
155,Hanley Supply House,,5 Westbrook Corporate Center,60154,60154,Westchester,US,,,B,5,E,,
156,Porto Leather Supplier,,Mainstreet 1,1111,1234,Porto,PT,,,B,15,E,,
157,Aluminium-Recycling GmbH,,Schmelzweg 33,,43556,Wuppertal,DE,,,B,10,D,,
158,SAPSOTA AG,,Industriepark,,32190,Nordenham,DE,,,B,10,D,,
159,Harley Accessories Produc,,Street 1,111,1234,Porto,PT,,,B,0,E,,
160,AC-Schulung,Firma,Neurottstr. 16,,69190,Waldorf,DE,,,B,0,D,,
161,Becker AG,Firma,Markstr. 1,,68344,Mannheim,DE,,,B,0,D,,
162,Schwarz Konstruktionen Gm,Firma,Bahnhofsstr. 243,,69190,Walldorf,DE,,,B,0,E,,
163,Meyer Elektro-Installatio,,Waldstr. 23,,64321,Lorch,DE,,,B,0,D,,
164,Hellweger,Firma,Dammallee 24,,20000,Hamburg,DE,,,B,4,D,,
165,Chris Miller,Frau,Gartenstr. 46,,76031,Karlsruhe,DE,,0721/12 12 12,P,5,D,,
166,Buffetti S.p.A.,Spett.le,"Via D'azeglio, 8",20100,20100,Milano,IT,MI,,B,2,I,,
167,SAP ITALIA SPA,SPETTABILE,Viale Colleoni 19,20041,20041,Agrate Brianza,IT,MI,,B,5,I,,
168,IBM of Portugal,,"Estrada do Casal Garcia, 11",245677,2700,Lisboa,PT,,,B,2,P,,
169,Hewlett Packard,,Estrada do Picasso,789688,2800,Lisboa,PT,,,B,7,P,,
170,Lieferanten GmbH,,Mandelweg 9,,20000,Hamburg,DE,,,B,15,D,,
171,Kenneth K. Krediman,Firma,Hinter den Verbindlichkeiten 1,,12345,Heidelberg,DE,,,B,5,D,,
172,John Smith,,5 Westbrook Center,60164,,Oakbrook,US,IL,,P,15,E,,
173,Frank Abbott,,123 Main Street,92715,,Irvine,US,CA,714-622-4567,P,15,E,,
174,Linda Smythe,,1905 Midwest Club,60521,,Oakbrook,US,IL,708-655-3137,P,0,E,,
175,Karen Mitchell,,2135 Halsted,60656,,Chicago,US,IL,312-323-5600,P,5,E,,
176,Douglas Olson,,9999 Hillsdale Ave.,60122,,Oak Park Heights,US,IL,,B,2,E,,
177,Jean Cosman,,1234 Jones Ave,N0P 4K4,,Kitchener,CA,ON,,P,20,E,,
178,Tom Peterson,,Philadelphia Square 7,,19111,Pascadenia,US,,,P,20,E,,
179,Brower & Co,,Bachstr. 100,,12345,Pittsburg,DE,,,B,0,D,,
180,MotoLux,Firma,Industriestr. 1,,68135,Mannheim,DE,,,B,0,D,,
181,Rasch Gruppe 99 KFZ-Zubeh,Firma,Daimlerstr. 123,,69134,Heidelberg,DE,08,,B,2,D,,
182,C.E.B Berlin,Firma,Jacoballe 23,8999,10001,Berlin,DE,11,030-8853-0,B,2,D,,
183,Becker GmbH,,Hauptstraße 127,,68301,Mannheim,DE,06,,B,5,D,,
184,Harvey Parts & C0.,,Hauptstr.,51,72345,Stuttgart,DE,08,,B,8,D,,
185,Holmes & Sherlock,,Towerbridge 12,,12345,London NW 12,GB,,,B,9,E,,
186,Meier & Mueller KG,Fa,Hauptstr. 123,,69101,Heidelberg,DE,,,B,8,D,,
187,Schmidt & Co. KG,,Seitenstr. 32,,75010,Karlsruhe,DE,,,B,12,D,,
189,Schultze AG,Firma,Nebenstr. 99,,60900,Frankfurt,DE,,,B,5,D,,
190,Huber & Wagner,Fa,Mallinckrodstr. 66,,68088,Mannheim,DE,,,B,0,D,,
191,BROWER & CO,,7TH Avenue,,12345,Pittsburg,DE,OH,,B,0,D,,
192,Verleihnix,Autohaus,Am alten Hafen 11,,20001,Hamburg,DE,,,B,0,D,,
193,Automatix,Fa,Neurottstr. 16,,69190,Walldorf,DE,,,B,5,D,,
194,Techno Graph ltd.,,1234 West Street,,54323,Rochester,US,NY,,B,5,E,,
195,Becker Berlin,Firma,Calvinstr. 36,,13467,Berlin,DE,11,030-8853-0,B,7,D,Dummy162@wonderworld.com,
196,Lampen-Markt GmbH,Firma,Auf der Schanz 54,,65936,Frankfurt,DE,06,069-467653-0,B,2,D,User163@dennerich.net,
197,Food & Stuff,Firma,Bernauer Str. 1,,80523,Muenchen,DE,09,089-120045-0,B,0,D,,
198,Karsson AG,Firma,Lochhausenerstr. 46,,81247,Muenchen,DE,09,089-456897-0,B,8,D,Contact165@wonderworld.com,
199,Becker AG,Firma,Industriestr. 23,,12099,Berlin,DE,11,030-982699-0,B,10,D,User166@nightghost.com,
200,Phunix KG,Firma,Langschneise 15,,60529,Frankfurt,DE,06,069-76889-0,B,11,D,,
201,P.S.G. GmbH,,Augsburgerstr. 345,,90431,Nuernberg,DE,,,B,0,D,Dummy168@dennerich.net,
202,Buy & Fly Supermarkt,,Saalburgstr. 765,,60385,Frankfurt,DE,,069-465789-0,B,12,D,User169@wonderworld.com,
203,Hitech AG,Firma,Motorstreetse 7,48524,21017,Hamburg,DE,02,040-82597-0,B,14,D,Contact170@nightghost.com,
204,Star Markt,Firma,Ludwigstr. 44,,60549,Frankfurt,DE,06,069-345658-0,B,15,D,,
205,Super Markets Inc.,,Hauptstr.78,,12437,Berlin,DE,11,,B,0,E,,
206,J & P Inc.,Firma,Lindenstr. 19,,70563,Stuttgart,DE,08,0711-805964,B,0,D,,
207,Automobile Courier Hmbg.,Firma,Am Wall 156,,21017,Hamburg,DE,02,040-2251-0,B,18,D,,
208,Waffles and Wafers Inc.,,Am Reisenbrook 17,,22359,Hamburg,DE,02,,B,0,E,,
209,Karpov SR.,Firma,Gorki Park 4,,111111,Moscow,RU,,,B,5,E,User176@wonderworld.com,
210,Werk Hamburg 1000,,Altersdorferstr. 13,,22299,Hamburg,DE,02,,B,0,D,Dummy177@dennerich.net,
211,Werk 2000 London,,Lancaster drive 435,,20001,London,GB,LO,,B,20,E,User178@wonderworld.com,
212,Werk 1200 Dresden,,Pilnizerstr. 241,,10069,Dresden,DE,,,B,2,D,,
213,Supermarket,,Mac Arthur Boulevard,,19113,Boston,US,,,B,5,E,,
214,ALDO Supermarkt,Firma,Birkacher Str. 76,,70599,Stuttgart,DE,08,0711-564321-0,B,12,D,,
215,Russian Prisunic,Firma,Gagarine Park,,150021,Moscow,RU,,,B,15,E,,
216,Minerva GmbH,Firma,Hammerbrookstreetse 45,90 08 54,20097,Hamburg,DE,02,040-936247,B,1,D,,
217,Christal Clear,Firma,An der Breiten Wiese 122,,30625,Hannover,DE,03,0511-347589-0,B,20,D,,
218,Becker Koeln,Firma,Wahnheider Str. 57,,51105,Koeln,DE,05,0221-5689-100,B,13,D,,
219,NSM Pumpentechnik AG,Firma,Deichstraße 45,,26721,Emden,DE,03,02670-8560-0,B,12,D,,
220,FAST International,Firma,Faberstr. 45,,81373,Muenchen,DE,09,089-243567-0,B,7,D,,
221,Superplus,,Regensburger Platz 23,,81679,Muenchen,DE,09,089-2499239,B,5,D,,
223,NSM Marschfelden GmbH,Firma,Rastenburgerstraße,,28779,Bremen,DE,04,03266-288817,B,2,D,,
225,Technik und Systeme GmbH,Fa.,Schwalbenweg 43,,52078,Aachen,DE,05,0241-77729,B,5,D,,
226,A.I.T. GmbH,Firma,Landsbergerstr. 54,,50997,Koeln,DE,05,0221-9933-8700,B,2,D,,
227,Robichaud Distributors,Ets.,120 Rue de la Paix,,89823,Lyon,FR,,,B,10,F,,
228,British Railways,Firma,London Road,,DE2 8UP,Manchester,GB,GM,00-44-81-844887,B,16,E,,
230,TALPA GmbH,Firma,Nackenbergerstr. 92,,30625,Hannover,DE,03,0511-403266-0,B,12,D,,
231,Henderson Inc.,Messrs.,100 Industrial Drive,,60804,Chicago,US,IL,708-454-8723,B,12,E,,
232,Huntington Equipment,,340 State Street,,30432,San Francisco,US,CA,415-454-9877,B,0,E,,
234,Smart Mart Inc.,,1300 State Street,,19003,Philadelphia,US,PA,215-090-7659,B,2,E,,
235,West Coast Computer Cente,,1400 Washington Circle,,30439,Los Angeles,US,CA,,B,5,E,,
236,"Electricité, Gaz et Eau",Ets.,21 Rue de Moselle,,92132,Issy-les-Moulineaux,FR,57,00-1-405-555-888,B,11,F,,
237,Wheels Inc.,,100 Madison,,11012,New York,US,NY,,B,2,E,,
